candidate,score_space,calibration,policy,threshold,unit_recall,false_warning_rate,unit_precision,median_first_alert_station_index,detected_before_final_inspection,positive_units,negative_units,alerted_positive_units,alerted_negative_units,selected_for_candidate,selected_final
hard_positive_w1p5_natural,raw_probability,none,two_consecutive,0.09608294714377047,0.8493150684931506,0.048202909003486,0.31686541737649065,16.0,0.8493150684931506,219,8319,186,401,False,False
hard_positive_w1p5_natural,raw_probability,none,two_of_three,0.09868488206720476,0.8493150684931506,0.04555836037985335,0.3292035398230089,16.0,0.8493150684931506,219,8319,186,379,False,False
hard_positive_w2p0_natural,raw_probability,none,raw,0.1421320160758933,0.863013698630137,0.04411587931241736,0.33992805755395683,15.0,0.863013698630137,219,8319,189,367,True,True
hard_positive_w2p0_natural,raw_probability,none,ema_0.3,0.10623943846285805,0.8584474885844748,0.03930760908763072,0.3650485436893204,16.0,0.8584474885844748,219,8319,188,327,False,False
hard_positive_w2p0_natural,raw_probability,none,ema_0.5,0.12244354003212331,0.8584474885844748,0.03930760908763072,0.3650485436893204,16.0,0.8584474885844748,219,8319,188,327,False,False
hard_positive_w2p0_natural,raw_probability,none,ema_0.7,0.13338882628971163,0.8584474885844748,0.03978843611010939,0.3622350674373796,15.0,0.8584474885844748,219,8319,188,331,False,False
hard_positive_w2p0_natural,raw_probability,none,two_consecutive,0.10664163713022298,0.863013698630137,0.04868373602596466,0.3181818181818182,16.0,0.863013698630137,219,8319,189,405,False,False
hard_positive_w2p0_natural,raw_probability,none,two_of_three,0.10664163713022298,0.863013698630137,0.04952518331530232,0.3144758735440932,16.0,0.863013698630137,219,8319,189,412,False,False
stage_specialized_natural,raw_probability,none,raw,0.15710865634230184,0.8447488584474886,0.0383459550426734,0.36706349206349204,15.0,0.8447488584474886,219,8319,185,319,False,False
stage_specialized_natural,raw_probability,none,ema_0.3,0.07961619920067452,0.8493150684931506,0.04952518331530232,0.3110367892976589,15.0,0.8493150684931506,219,8319,186,412,True,False
stage_specialized_natural,raw_probability,none,ema_0.5,0.1203216734994175,0.8447488584474886,0.0376247145089554,0.3714859437751004,15.0,0.8447488584474886,219,8319,185,313,False,False
stage_specialized_natural,raw_probability,none,ema_0.7,0.1481725229969606,0.8447488584474886,0.03365789157350643,0.3978494623655914,15.0,0.8447488584474886,219,8319,185,280,False,False
stage_specialized_natural,raw_probability,none,two_consecutive,0.10422638540353525,0.8401826484018264,0.04543815362423368,0.3274021352313167,16.0,0.8401826484018264,219,8319,184,378,False,False
stage_specialized_natural,raw_probability,none,two_of_three,0.09853176184907773,0.8447488584474886,0.04880394278158433,0.3130287648054145,16.0,0.8447488584474886,219,8319,185,406,False,False
